Year,Month,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),C02 Flux (t/d),SO2 Flux (t/d),Rainfall,Tmax,Tmin,RH,WindSpeed,WindDirection
2013,1,26.315,,,8.575,0.415,0.021,,3.32,,,46.2,29.2,22.7,79,2,40
2013,2,26.78916667,,,8.7875,0.477272727,0.029727273,,6.696666667,,,122,30.5,23.2,78,2,70
2013,3,29.04166667,,,8.5625,0.009166667,0.001583333,,8.18,870,,20.5,31.9,23.4,77,2,40
2013,4,30.92083333,27.39583333,26.8625,8.055833333,0.024166667,0.006333333,,6.22,,,42.4,34.4,23.8,75,1,40
2013,5,31,,,8.5,,0.012666667,,7.35,,,230.3,33.2,24.9,81,1,40
2013,6,31.06818182,,,8.618181818,0.069090909,0.035454545,,5.055454545,,,386.1,32.4,24.8,85,1,240
2013,7,30.64166667,,,8.491666667,,,,5.633333333,1700,,285.9,31.6,24.2,85,1,40
2013,8,29.66666667,,,8.5,0.143796296,0.136388889,,6.383333333,,,524.7,30.7,24.2,86,2,240
2013,9,30.88333333,,,8.35,0.176666667,0.009388889,,5.033333333,,,815.8,30.1,24.1,89,1,220
2013,10,29.75833333,,,8.358333333,,,,8.541666667,540,,121.1,30.7,23.2,83,1,40
2013,11,26,,,8.24,,,,4.93,,,225.2,30.4,24.3,83,2,40
2013,12,27.66666667,,,8.183333333,,,,7.025,,,49.1,30.4,24,81,2,40
2014,1,25.44444444,25.21111111,25.36666667,8.055555556,0.481111111,,,4.477777778,500,,0.5,28.4,20.9,74,3,40
2014,2,27.04166667,25.79166667,25.66666667,8.205555556,0.260833333,0.010666667,,10.36666667,680,,0,30.7,20.6,76,2,40
2014,3,26.95833333,26,25.94166667,8.316666667,0.309166667,0.014916667,,8.033333333,,,28.1,32,22.1,77,2,40
2014,4,29.70833333,26.875,26.08333333,8.054166667,0.180833333,0.011636364,,6.45,,,22.4,34.1,22.8,76,1,40
2014,5,31.125,26.5,26.29166667,8.083333333,0.229166667,0.015,,7.091666667,,,154.6,35,24.5,80,1,40
2014,6,30.79166667,27.3,25.81818182,8.916666667,0.37,0.016083333,,7.6,700,,78.9,33.1,24.7,83,1,240
2014,7,30.90909091,27.09090909,26.27272727,8.75,0.366363636,0.011727273,,7.045454545,1800,,406.7,31.1,24.2,87,2,360
2014,8,31.72727273,28.45454545,27.13636364,8.209090909,0.21,,,7.218181818,,,212.5,31.9,23.8,84,2,220
2014,9,30.56666667,27.99583333,27.625,8.090277778,0.255833333,,,6.975,,,321.5,31.4,23.6,85,2,40
2014,10,32.125,27.94166667,27.375,8.666666667,0.298333333,,,7.316666667,,,223.5,31.4,23.4,86,2,40
2014,11,28.59583333,27.4,26.82916667,8.229166667,0.2675,0.115,,5.05,2290,,43,31.3,23.2,81,2,40
2014,12,28,27.775,27.125,8.1875,0.30125,0.03875,,8.3,,,326.8,29.3,23.6,83,3,40
2015,1,27.79,26.42,26.17,7.825,0.181,0.036,,5.34,1980,,50.8,28.6,21.6,80,2,40
2015,2,26.69166667,26.29166667,26.08333333,7.958333333,0.311666667,0.129166667,,8.425,,,5,30.4,21.1,77,2,40
2015,3,27.20833333,26.45,26.2,8.166666667,0.128333333,0.170833333,,5.283333333,,,15.2,31.7,21.5,75,2,40
2015,4,28.75,27.38333333,26.91666667,8.4375,0.264166667,0.143333333,,5.575,1580,,0,34,23.4,73,2,40
2015,5,30.9,28.15833333,27.30833333,8.479166667,0.285833333,0.0525,,6.658333333,,,11.7,34.7,24.1,76,1,40
2015,6,32.11666667,28.44166667,27.71666667,8.6875,0.230833333,0.056666667,,5.93,,,159.7,34,24.7,81,1,220
2015,7,30.76666667,27.83333333,28.28333333,8.6875,0.00075,0.0055,,5.385833333,2300,,309.1,32,24.1,83,2,220
2015,8,30.24166667,28.525,27.50833333,8.479166667,0.3775,0,,5.14,,,265.3,32.3,23.9,85,2,220
2015,9,31.59166667,28.925,27.93333333,8.840833333,0.065833333,0.002083333,,5.995,,,243.8,32.6,24.2,85,1,40
2015,10,29.375,28.35,27.625,8.695833333,0.315833333,0.07,,5.904166667,1550,,230.2,32.2,23.4,84,2,40
2015,11,28.875,28.09166667,27.34166667,7.221666667,0.276666667,0.070833333,,5.484166667,,,43.4,31.8,24.3,82,2,40
2015,12,28.56666667,27.71666667,27.11666667,8.395833333,0.18,0.06,,5.710833333,,,292.5,30.6,23,83,2,40
2016,1,27.19166667,26.56666667,26.26666667,8.083333333,0.27,0.051666667,,4.023333333,1380,,18.7,31,22.3,82,2,40
